id,name,description
hr_types_contribution_101,124,"Недокументирани часови за кои не се пресметани придонеси и персонален данок"
hr_types_contribution_102,125,"Надоместок за боледување – 70%"
hr_types_contribution_103,126,"Надоместок за боледување – 80%"
hr_types_contribution_104,127,"Надоместок за боледување – 90%"
hr_types_contribution_105,128,"Надоместок за боледување – 100%"
hr_types_contribution_106,130,"Надоместок за плата заради работа со скратено работно време – 100%"
hr_types_contribution_107,131,"Надоместок за плата заради работа со скратено работно време – 85%"
hr_types_contribution_108,133,"Надоместок за плата заради помала плата на друго работно место"
hr_types_contribution_109,134,"Надоместок за плата од ден на склучување на инвалидитет до распоредување или вработување на друга соодветна работа – 100%"
hr_types_contribution_110,135,"Надоместок за плата од ден на склучување на инвалидитет до распоредување или вработување на друга соодветна работа – 80%"
hr_types_contribution_111,136,"Надоместок за плата од ден на склучување на инвалидитет до распоредување или вработување на друга соодветна работа – 70%"
hr_types_contribution_112,137,"Надоместок за плата од ден на склучување на инвалидитет до распоредување или вработување на друга соодветна работа – 50%"
