id,name,description
hr_types_seniority_insurance_101,0050,"Време поминато во работен однос со полно работно време"
hr_types_seniority_insurance_102,0040,"Работа подолга од полно работно време"
hr_types_seniority_insurance_103,0042,"Време поминато во истражен затвор до 30 дена"
hr_types_seniority_insurance_104,0043,"Време поминато на издражување на казна затвор до 30 дена"
hr_types_seniority_insurance_105,0044,"Време поминато во штрајк организиран согласно законските прописи"
hr_types_seniority_insurance_106,0045,"Време поминато на принуден одмор во согласност со законските прописи"
hr_types_seniority_insurance_107,0046,"Време за кое на обврзникот му се исплаќа зголемена плата остварена по основ на иновации, рационализација и други видови творештвo"
hr_types_seniority_insurance_108,0047,"Време поминато во работен однос со непотполно работно време"
hr_types_seniority_insurance_109,0048,"Време поминато во работен однос со скратено работно време кое е изедначено со полно работно време"
hr_types_seniority_insurance_110,0049,"Изедначување на полното работно време на осигурениците кои работат во смени, но не пократко од 32 часа во неделата, со оние работници кои работат полно работно време, но не во смени, односно само попладне"
hr_types_seniority_insurance_111,0055,"Време поминато на работа во странство на државјанин на Република Македонија, кој засновал работен однос кај работодавец кој врши дејност во странство односно деташирани работници"
hr_types_seniority_insurance_112,0065,"Време поминато на сезонски работи кои се пресметуваат како полно работно време"
hr_types_seniority_insurance_114,0066,"Прераспределба на работното време"
hr_types_seniority_insurance_115,0067,"Време поминато на професионална рехабилитација, односно преквалификација или доквалификација на која бил упатен инвалидот на трудот"
hr_types_seniority_insurance_116,0072,"Време поминато во задолжително осигурување на работниците упатени на школување, студии, стручно усовршување и специјализациј"
hr_types_seniority_insurance_117,0075,"Прекувремена работа одобрена со акт на Влада на РМ"
hr_types_seniority_insurance_118,0089,"Скратено работно време поради нега на потешко хендикепирано дете"
hr_types_seniority_insurance_119,2222,"Лице вон работен однос осигурано во случај на настанување на инвалидност и телесно оштетување (шифра за стаж со зголемено траење е доделена од Фондот)"
