id,description,chart_template_id/id,name,amount,amount_type,type_tax_use,sequence,account_id/id,refund_account_id/id,tag_ids/id
ddv_18,Д-18,l10n_mk_chart_template_kp,ДДВ 18%,18,percent,sale,10,kp_2301,kp_2301,"l10n_mk.tag_tax_01,l10n_mk.tag_tax_02"
ddv_5,Д-5,l10n_mk_chart_template_kp,ДДВ 5%,5,percent,sale,10,kp_2302,kp_2302,"l10n_mk.tag_tax_03,l10n_mk.tag_tax_04"
ddv_0,Д-0,l10n_mk_chart_template_kp,ДДВ 0%,0,percent,sale,10,,,
ddv_18_avans,Д-А-18,l10n_mk_chart_template_kp,ДДВ 18% аванс,18,percent,sale,10,kp_2303,kp_2303,"l10n_mk.tag_tax_01,l10n_mk.tag_tax_02"
ddv_5_avans,Д-А-5,l10n_mk_chart_template_kp,ДДВ 5% аванс,5,percent,sale,10,kp_2304,kp_2304,"l10n_mk.tag_tax_03,l10n_mk.tag_tax_04"
ddv_pole05,Д1-0,l10n_mk_chart_template_kp,Извоз,0,percent,sale,10,,,l10n_mk.tag_tax_05
ddv_pole06,Д2-0,l10n_mk_chart_template_kp,Промет ослободен од данок без право на одбивка на претходен данок,0,percent,sale,10,,,l10n_mk.tag_tax_06
ddv_pole07,Д3-0,l10n_mk_chart_template_kp,Промет извршен спрема даночни обврзници кои немаат седиште во земјата и кој не е предмет на оданочување со ДДВ согласно член 2 и 14 од ЗДДВ.,0,percent,sale,10,,,l10n_mk.tag_tax_07
pd_18,ВД-18,l10n_mk_chart_template_kp,ДДВ 18% влезни ф-ри,18,percent,purchase,10,kp_1301,kp_1301,"l10n_mk.tag_tax_18,l10n_mk.tag_tax_19"
pd_5,ВД-5,l10n_mk_chart_template_kp,ДДВ 5% влезни ф-ри,5,percent,purchase,10,kp_1302,kp_1302,"l10n_mk.tag_tax_18,l10n_mk.tag_tax_19"
pd_0,ВД-0,l10n_mk_chart_template_kp,ДДВ 0% влезни ф-ри,0,percent,purchase,10,,,
pd_18_avans,ВД-А-18,l10n_mk_chart_template_kp,ДДВ 18% аванс в. ф-ри,18,percent,purchase,10,kp_1303,kp_1303,"l10n_mk.tag_tax_18,l10n_mk.tag_tax_19"
pd_5_avans,ВД-А-5,l10n_mk_chart_template_kp,ДДВ 5% аванс в. ф-ри,5,percent,purchase,10,kp_1304,kp_1304,"l10n_mk.tag_tax_18,l10n_mk.tag_tax_19"
pd_18_uvoz,ВД-У-18,l10n_mk_chart_template_kp,ДДВ 18% увоз,18,percent,purchase,10,kp_1305,kp_1305,"l10n_mk.tag_tax_24,l10n_mk.tag_tax_25"
pd_5_uvoz,ВД-У-5,l10n_mk_chart_template_kp,ДДВ 5% увоз,5,percent,purchase,10,kp_1306,kp_1306,"l10n_mk.tag_tax_24,l10n_mk.tag_tax_25"
